Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
MeasureRoutineLogList,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"5,538.32 us",119.1932 us,338.1312 us,"4,931.63 us","6,428.13 us","5,490.30 us",4,93.7500,291.2 KB
MeasureRoutineNoAuthorizationLogList,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,13.64 us,0.1204 us,0.1006 us,13.46 us,13.83 us,13.63 us,1,2.2583,6.98 KB
MeasureRoutineRepositoryLogList,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"6,041.74 us",132.3864 us,135.9511 us,"5,751.09 us","6,327.91 us","6,033.07 us",6,101.5625,322.96 KB
MeasureRoutineRepositoryExceptionLogList,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"8,604.88 us",161.8934 us,151.4352 us,"8,345.92 us","8,868.58 us","8,633.78 us",10,140.6250,441.02 KB
MeasureRoutineRepositoryErrorLogList,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"7,337.51 us",107.4821 us,89.7524 us,"7,163.47 us","7,498.83 us","7,324.66 us",8,132.8125,430.8 KB
MeasureRoutineLogList,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"5,215.46 us",123.6356 us,132.2887 us,"5,080.58 us","5,558.90 us","5,167.43 us",3,93.7500,291.7 KB
MeasureRoutineNoAuthorizationLogList,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,26.94 us,0.1790 us,0.1674 us,26.65 us,27.24 us,26.91 us,2,3.3264,10.24 KB
MeasureRoutineRepositoryLogList,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"5,756.25 us",94.2078 us,88.1220 us,"5,638.09 us","5,911.30 us","5,736.60 us",5,101.5625,329.09 KB
MeasureRoutineRepositoryExceptionLogList,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"7,165.72 us",143.4778 us,413.9663 us,"6,478.43 us","8,369.00 us","7,116.72 us",7,125.0000,399.22 KB
MeasureRoutineRepositoryErrorLogList,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"7,886.36 us",149.9685 us,189.6621 us,"7,567.26 us","8,266.28 us","7,838.98 us",9,164.0625,522.15 KB
