Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Gen 1,Gen 2,Allocated
fastExpressionCompiler,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,15.075 ms,0.0490 ms,0.0458 ms,15.002 ms,15.143 ms,15.059 ms,9,625.0000,171.8750,46.8750,2489.78 KB
dslComposeFormatter,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.291 ms,0.0245 ms,0.0229 ms,2.269 ms,2.333 ms,2.284 ms,6,226.5625,62.5000,58.5938,856.92 KB
dslComposeFormatter_FastCompile,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.264 ms,0.0175 ms,0.0164 ms,2.244 ms,2.297 ms,2.260 ms,5,226.5625,62.5000,58.5938,856.92 KB
jil,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,1.113 ms,0.0118 ms,0.0110 ms,1.103 ms,1.138 ms,1.108 ms,2,109.3750,54.6875,54.6875,505.95 KB
fake_expressionManuallyConstruted,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,51.068 ms,0.1025 ms,0.0959 ms,50.906 ms,51.214 ms,51.088 ms,10,1687.5000,437.5000,-,6164.08 KB
fake_delegateManuallyConstruted,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.362 ms,0.0092 ms,0.0086 ms,2.349 ms,2.382 ms,2.359 ms,7,406.2500,78.1250,58.5938,1494.55 KB
fastExpressionCompiler,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,14.751 ms,0.0313 ms,0.0293 ms,14.715 ms,14.821 ms,14.745 ms,8,625.0000,171.8750,46.8750,2489.78 KB
dslComposeFormatter,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.216 ms,0.0052 ms,0.0049 ms,2.207 ms,2.222 ms,2.218 ms,3,226.5625,62.5000,58.5938,856.92 KB
dslComposeFormatter_FastCompile,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.225 ms,0.0085 ms,0.0079 ms,2.212 ms,2.237 ms,2.225 ms,4,226.5625,62.5000,58.5938,856.92 KB
jil,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,1.105 ms,0.0031 ms,0.0027 ms,1.100 ms,1.108 ms,1.105 ms,1,109.3750,54.6875,54.6875,505.95 KB
fake_expressionManuallyConstruted,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,51.053 ms,0.2729 ms,0.2553 ms,50.739 ms,51.523 ms,51.066 ms,10,1687.5000,437.5000,-,6164.08 KB
fake_delegateManuallyConstruted,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.1,Default,1,Default,Default,Default,Default,16,Default,2.362 ms,0.0118 ms,0.0105 ms,2.341 ms,2.382 ms,2.363 ms,7,406.2500,78.1250,58.5938,1494.55 KB
